Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn)
Sola;SN44560;01.09.2000;17,2
Sola;SN44560;02.09.2000;16,8
Sola;SN44560;03.09.2000;16,2
Sola;SN44560;04.09.2000;15
Sola;SN44560;05.09.2000;15,5
Sola;SN44560;06.09.2000;16
Sola;SN44560;07.09.2000;14,7
Sola;SN44560;08.09.2000;16,3
Sola;SN44560;09.09.2000;15,3
Sola;SN44560;10.09.2000;14,8
Sola;SN44560;11.09.2000;13,9
Sola;SN44560;12.09.2000;15
Sola;SN44560;13.09.2000;16,6
Sola;SN44560;14.09.2000;14,6
Sola;SN44560;15.09.2000;15,5
Sola;SN44560;16.09.2000;16
Sola;SN44560;17.09.2000;15,7
Sola;SN44560;18.09.2000;14,9
Sola;SN44560;19.09.2000;15,8
Sola;SN44560;20.09.2000;16,9
Sola;SN44560;21.09.2000;16,1
Sola;SN44560;22.09.2000;15,5
Sola;SN44560;23.09.2000;16,7
Sola;SN44560;24.09.2000;18,3
Sola;SN44560;25.09.2000;18,9
Sola;SN44560;26.09.2000;16,4
Sola;SN44560;27.09.2000;15,9
Sola;SN44560;28.09.2000;14,8
Sola;SN44560;29.09.2000;17,2
Sola;SN44560;30.09.2000;22,6
Sola;SN44560;01.09.2001;15,6
Sola;SN44560;02.09.2001;16,1
Sola;SN44560;03.09.2001;15,9
Sola;SN44560;04.09.2001;18,4
Sola;SN44560;05.09.2001;15,1
Sola;SN44560;06.09.2001;14,6
Sola;SN44560;07.09.2001;13,9
Sola;SN44560;08.09.2001;13,3
Sola;SN44560;09.09.2001;16
Sola;SN44560;10.09.2001;15,1
Sola;SN44560;11.09.2001;17,2
Sola;SN44560;12.09.2001;15,2
Sola;SN44560;13.09.2001;16,4
Sola;SN44560;14.09.2001;15,3
Sola;SN44560;15.09.2001;14,1
Sola;SN44560;16.09.2001;14,8
Sola;SN44560;17.09.2001;19
Sola;SN44560;18.09.2001;20,3
Sola;SN44560;19.09.2001;20,2
Sola;SN44560;20.09.2001;17,6
Sola;SN44560;21.09.2001;16,8
Sola;SN44560;22.09.2001;18,2
Sola;SN44560;23.09.2001;18,5
Sola;SN44560;24.09.2001;15,2
Sola;SN44560;25.09.2001;14,6
Sola;SN44560;26.09.2001;13,9
Sola;SN44560;27.09.2001;14,5
Sola;SN44560;28.09.2001;14
Sola;SN44560;29.09.2001;12
Sola;SN44560;30.09.2001;14,6
Sola;SN44560;01.09.2002;17
Sola;SN44560;02.09.2002;18,7
Sola;SN44560;03.09.2002;18,8
Sola;SN44560;04.09.2002;19,6
Sola;SN44560;05.09.2002;17,9
Sola;SN44560;06.09.2002;17,4
Sola;SN44560;07.09.2002;17,4
Sola;SN44560;08.09.2002;21,5
Sola;SN44560;09.09.2002;25,3
Sola;SN44560;10.09.2002;25,4
Sola;SN44560;11.09.2002;23,9
Sola;SN44560;12.09.2002;20,7
Sola;SN44560;13.09.2002;18,8
Sola;SN44560;14.09.2002;18,5
Sola;SN44560;15.09.2002;16,5
Sola;SN44560;16.09.2002;16
Sola;SN44560;17.09.2002;15,3
Sola;SN44560;18.09.2002;15,1
Sola;SN44560;19.09.2002;13,6
Sola;SN44560;20.09.2002;14,1
Sola;SN44560;21.09.2002;14,2
Sola;SN44560;22.09.2002;15,8
Sola;SN44560;23.09.2002;12,7
Sola;SN44560;24.09.2002;14,1
Sola;SN44560;25.09.2002;13,9
Sola;SN44560;26.09.2002;12,5
Sola;SN44560;27.09.2002;14,5
Sola;SN44560;28.09.2002;15,8
Sola;SN44560;29.09.2002;15,9
Sola;SN44560;30.09.2002;15,4
Sola;SN44560;01.09.2003;14,8
Sola;SN44560;02.09.2003;14,4
Sola;SN44560;03.09.2003;15,5
Sola;SN44560;04.09.2003;17,7
Sola;SN44560;05.09.2003;19,6
Sola;SN44560;06.09.2003;19,7
Sola;SN44560;07.09.2003;18,3
Sola;SN44560;08.09.2003;16,3
Sola;SN44560;09.09.2003;17,3
Sola;SN44560;10.09.2003;17,2
Sola;SN44560;11.09.2003;19,6
Sola;SN44560;12.09.2003;15,9
Sola;SN44560;13.09.2003;17,1
Sola;SN44560;14.09.2003;17,4
Sola;SN44560;15.09.2003;17,9
Sola;SN44560;16.09.2003;16,1
Sola;SN44560;17.09.2003;17,5
Sola;SN44560;18.09.2003;16,6
Sola;SN44560;19.09.2003;15,8
Sola;SN44560;20.09.2003;14,6
Sola;SN44560;21.09.2003;15,5
Sola;SN44560;22.09.2003;16,3
Sola;SN44560;23.09.2003;11,2
Sola;SN44560;24.09.2003;12,3
Sola;SN44560;25.09.2003;14,9
Sola;SN44560;26.09.2003;13,6
Sola;SN44560;27.09.2003;11,1
Sola;SN44560;28.09.2003;11,2
Sola;SN44560;29.09.2003;13,1
Sola;SN44560;30.09.2003;13,9
Sola;SN44560;01.09.2004;16,6
Sola;SN44560;02.09.2004;18
Sola;SN44560;03.09.2004;21,3
Sola;SN44560;04.09.2004;21,3
Sola;SN44560;05.09.2004;20,3
Sola;SN44560;06.09.2004;17,1
Sola;SN44560;07.09.2004;16
Sola;SN44560;08.09.2004;17,5
Sola;SN44560;09.09.2004;16,8
Sola;SN44560;10.09.2004;20,9
Sola;SN44560;11.09.2004;18,1
Sola;SN44560;12.09.2004;15,3
Sola;SN44560;13.09.2004;14,7
Sola;SN44560;14.09.2004;16,1
Sola;SN44560;15.09.2004;12
Sola;SN44560;16.09.2004;14
Sola;SN44560;17.09.2004;14,8
Sola;SN44560;18.09.2004;15,2
Sola;SN44560;19.09.2004;14,7
Sola;SN44560;20.09.2004;14,8
Sola;SN44560;21.09.2004;13,4
Sola;SN44560;22.09.2004;13,3
Sola;SN44560;23.09.2004;14,2
Sola;SN44560;24.09.2004;14,1
Sola;SN44560;25.09.2004;11,7
Sola;SN44560;26.09.2004;13,8
Sola;SN44560;27.09.2004;13,8
Sola;SN44560;28.09.2004;12,3
Sola;SN44560;29.09.2004;15,4
Sola;SN44560;30.09.2004;16,8
Sola;SN44560;01.09.2005;23,3
Sola;SN44560;02.09.2005;20,5
Sola;SN44560;03.09.2005;17,7
Sola;SN44560;04.09.2005;18,3
Sola;SN44560;05.09.2005;20,3
Sola;SN44560;06.09.2005;23,9
Sola;SN44560;07.09.2005;19,2
Sola;SN44560;08.09.2005;16
Sola;SN44560;09.09.2005;13,9
Sola;SN44560;10.09.2005;17,4
Sola;SN44560;11.09.2005;17,4
Sola;SN44560;12.09.2005;14,8
Sola;SN44560;13.09.2005;16,5
Sola;SN44560;14.09.2005;15,1
Sola;SN44560;15.09.2005;12,5
Sola;SN44560;16.09.2005;11,4
Sola;SN44560;17.09.2005;11,7
Sola;SN44560;18.09.2005;14,8
Sola;SN44560;19.09.2005;15,3
Sola;SN44560;20.09.2005;15,2
Sola;SN44560;21.09.2005;15,6
Sola;SN44560;22.09.2005;16,6
Sola;SN44560;23.09.2005;18,6
Sola;SN44560;24.09.2005;15,9
Sola;SN44560;25.09.2005;15,6
Sola;SN44560;26.09.2005;16,5
Sola;SN44560;27.09.2005;15,9
Sola;SN44560;28.09.2005;13,9
Sola;SN44560;29.09.2005;12,6
Sola;SN44560;30.09.2005;12,7
Sola;SN44560;01.09.2006;18,9
