Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (døgn);Høyeste middelvind (døgn)
Sola;SN44560;11.05.2021;16;10,7
Sola;SN44560;12.05.2021;7,5;6,4
Sola;SN44560;13.05.2021;8,3;7,1
Sola;SN44560;14.05.2021;4,8;3,8
Sola;SN44560;15.05.2021;6,7;4,9
Sola;SN44560;16.05.2021;5,5;3,8
Sola;SN44560;17.05.2021;11,5;9,2
Sola;SN44560;18.05.2021;9,8;8
Sola;SN44560;19.05.2021;7,7;6
Sola;SN44560;20.05.2021;11,2;9,1
Sola;SN44560;21.05.2021;9,8;7,3
Sola;SN44560;22.05.2021;8,3;5,7
Sola;SN44560;23.05.2021;9,1;6,5
Sola;SN44560;24.05.2021;14,9;11,1
Sola;SN44560;25.05.2021;10,8;7,5
Sola;SN44560;26.05.2021;12,7;8,9
Sola;SN44560;27.05.2021;7,6;6,4
Sola;SN44560;28.05.2021;10,2;7,8
Sola;SN44560;29.05.2021;9;7,2
Sola;SN44560;30.05.2021;9;7,4
Sola;SN44560;31.05.2021;7,4;6,1
Sola;SN44560;01.06.2021;6,9;6,1
Sola;SN44560;02.06.2021;13,1;8,1
Sola;SN44560;03.06.2021;20,1;13,2
Sola;SN44560;04.06.2021;13;7,3
Sola;SN44560;05.06.2021;5,3;4,6
Sola;SN44560;06.06.2021;8,2;7
Sola;SN44560;07.06.2021;8,8;7,3
Sola;SN44560;08.06.2021;7,9;6,2
Sola;SN44560;09.06.2021;10,2;7,3
Sola;SN44560;10.06.2021;10,7;8,3
Sola;SN44560;11.06.2021;11,8;8,5
Sola;SN44560;12.06.2021;14,3;11,5
Sola;SN44560;13.06.2021;12,5;10,1
Sola;SN44560;14.06.2021;11,7;8,8
Sola;SN44560;15.06.2021;13,7;10,5
Sola;SN44560;16.06.2021;15,5;11,8
Sola;SN44560;17.06.2021;11,2;8,2
Sola;SN44560;18.06.2021;12,2;9,7
Sola;SN44560;19.06.2021;11,4;7,9
Sola;SN44560;20.06.2021;10,6;8,3
Sola;SN44560;21.06.2021;15;11,3
Sola;SN44560;22.06.2021;15,2;11,3
Sola;SN44560;23.06.2021;12,3;8,5
Sola;SN44560;24.06.2021;6,7;5,7
Sola;SN44560;25.06.2021;6,4;5,1
Sola;SN44560;26.06.2021;9,6;7,9
Sola;SN44560;27.06.2021;11,2;9,2
Sola;SN44560;28.06.2021;10;8,5
Sola;SN44560;29.06.2021;12,1;9,6
Sola;SN44560;30.06.2021;11,5;8,7
Sola;SN44560;01.07.2021;9,3;7,2
Sola;SN44560;02.07.2021;6;5,1
Sola;SN44560;03.07.2021;7;5,5
Sola;SN44560;04.07.2021;8,2;6,3
Sola;SN44560;05.07.2021;12,7;8,3
Sola;SN44560;06.07.2021;14,3;10,2
Sola;SN44560;07.07.2021;14,5;10,2
Sola;SN44560;08.07.2021;10,2;7,4
Sola;SN44560;09.07.2021;7,2;5,5
Sola;SN44560;10.07.2021;8,8;7,2
Sola;SN44560;11.07.2021;8;6,7
Sola;SN44560;12.07.2021;6,5;5,1
Sola;SN44560;13.07.2021;5,5;4,6
Sola;SN44560;14.07.2021;8,9;7,4
Sola;SN44560;15.07.2021;16,4;13,3
Sola;SN44560;16.07.2021;14;11
Sola;SN44560;17.07.2021;9,2;6,9
Sola;SN44560;18.07.2021;13,6;10,9
Sola;SN44560;19.07.2021;11,7;9,3
Sola;SN44560;20.07.2021;12,6;10,5
Sola;SN44560;21.07.2021;10,5;8,1
Sola;SN44560;22.07.2021;12,5;9,6
Sola;SN44560;23.07.2021;11;8
Sola;SN44560;24.07.2021;6,5;5,2
Sola;SN44560;25.07.2021;7,6;5,7
Sola;SN44560;26.07.2021;10,5;7
Sola;SN44560;27.07.2021;8,2;4,6
Sola;SN44560;28.07.2021;9,3;6,2
Sola;SN44560;29.07.2021;7,6;5,5
Sola;SN44560;30.07.2021;11,1;8,2
Sola;SN44560;31.07.2021;13,6;10,8
Sola;SN44560;01.08.2021;13,6;10,2
Sola;SN44560;02.08.2021;13,1;10,7
Sola;SN44560;03.08.2021;11,6;8,8
Sola;SN44560;04.08.2021;6,9;5,8
Sola;SN44560;05.08.2021;10,3;7,8
Sola;SN44560;06.08.2021;13,8;9,1
Sola;SN44560;07.08.2021;14,8;10,2
Sola;SN44560;08.08.2021;7,7;5,6
Sola;SN44560;09.08.2021;10,4;7,6
Sola;SN44560;10.08.2021;10,1;6,9
Sola;SN44560;11.08.2021;7,2;5,6
Sola;SN44560;12.08.2021;11,3;7,8
Sola;SN44560;13.08.2021;13,8;8,8
Sola;SN44560;14.08.2021;14,6;9,6
Sola;SN44560;15.08.2021;11,1;8
Sola;SN44560;16.08.2021;11,4;9,2
Sola;SN44560;17.08.2021;12,2;9,2
Sola;SN44560;18.08.2021;12,6;8,9
Sola;SN44560;19.08.2021;13,9;10,4
Sola;SN44560;20.08.2021;10,4;8,3
Sola;SN44560;21.08.2021;8,8;7
Sola;SN44560;22.08.2021;6,3;5
Sola;SN44560;23.08.2021;11,1;8,7
Sola;SN44560;24.08.2021;11,4;9
Sola;SN44560;25.08.2021;18,4;14,1
Sola;SN44560;26.08.2021;10,6;8,2
Sola;SN44560;27.08.2021;8,5;6,9
Sola;SN44560;28.08.2021;8,3;6,8
Sola;SN44560;29.08.2021;8,4;7
Sola;SN44560;30.08.2021;10,7;7,9
Sola;SN44560;31.08.2021;12,3;9,1
Sola;SN44560;01.09.2021;14,2;10,9
Sola;SN44560;02.09.2021;12,9;10,6
Sola;SN44560;03.09.2021;13,3;10,2
Sola;SN44560;04.09.2021;10,2;7,8
Sola;SN44560;05.09.2021;8,9;6,3
Sola;SN44560;06.09.2021;4,7;3,7
Sola;SN44560;07.09.2021;7;5,2
Sola;SN44560;08.09.2021;6,5;5
Sola;SN44560;09.09.2021;4,8;4,1
Sola;SN44560;10.09.2021;9,4;7
Sola;SN44560;11.09.2021;9,1;6,5
Sola;SN44560;12.09.2021;15,6;11,3
Sola;SN44560;13.09.2021;12,7;9,5
Sola;SN44560;14.09.2021;8,2;6,8
Sola;SN44560;15.09.2021;7,4;4,2
Sola;SN44560;16.09.2021;4,8;3,8
Sola;SN44560;17.09.2021;8,4;6,1
Sola;SN44560;18.09.2021;10,7;8,5
