tid; retning1; retning2
0.0; -0.036; 0.291
0.16783216783216784; 0.011; 0.152
0.3356643356643357; -0.01; -0.004
0.5034965034965035; -0.127; -0.034
0.6713286713286714; 0.004; 0.143
0.8391608391608392; -0.055; 0.065
1.006993006993007; -0.092; -0.001
1.1748251748251748; -0.119; 0.127
1.3426573426573427; -0.208; 0.134
1.5104895104895106; -0.2; 0.136
1.6783216783216783; -0.13; 0.145
1.8461538461538463; -0.323; -0.005
2.013986013986014; -0.296; 0.026
2.181818181818182; -0.162; 0.014
2.3496503496503496; -0.099; 0.172
2.5174825174825175; -0.098; 0.321
2.6853146853146854; -0.171; 0.421
2.8531468531468533; -0.281; 0.384
3.0209790209790213; -0.362; 0.405
3.1888111888111887; -0.448; 0.534
3.3566433566433567; -0.499; 0.525
3.5244755244755246; -0.443; 0.347
3.6923076923076925; -0.444; 0.52
3.8601398601398604; -0.398; 0.402
4.027972027972028; -0.395; 0.405
4.195804195804196; -0.356; 0.388
4.363636363636364; -0.227; 0.267
4.531468531468532; -0.318; 0.207
4.699300699300699; -0.321; 0.168
4.8671328671328675; -0.175; 0.049
5.034965034965035; -0.313; 0.132
5.202797202797203; -0.31; 0.106
5.370629370629371; -0.294; 0.106
5.538461538461538; -0.273; 0.085
5.706293706293707; -0.249; 0.123
5.874125874125874; -0.128; -0.001
6.0419580419580425; -0.161; -0.011
6.20979020979021; -0.274; -0.038
6.3776223776223775; -0.241; -0.029
6.545454545454546; -0.271; -0.05
6.713286713286713; -0.14; -0.03
6.881118881118882; -0.147; -0.2
7.048951048951049; -0.174; -0.185
7.216783216783217; 0.008; -0.096
7.384615384615385; -0.065; -0.078
7.5524475524475525; -0.135; -0.113
7.720279720279721; 0.047; -0.129
7.888111888111888; 0.039; -0.124
8.055944055944057; -0.088; -0.174
8.223776223776223; 0.092; -0.284
8.391608391608392; 0.148; -0.323
8.55944055944056; 0.12; -0.4
8.727272727272728; 0.106; -0.568
8.895104895104895; 0.186; -0.483
9.062937062937063; 0.27; -0.239
9.230769230769232; 0.348; 0.255
9.398601398601398; 0.574; 0.488
9.566433566433567; 0.485; 0.196
9.734265734265735; 0.329; 0.221
9.902097902097902; 0.312; 0.009
10.06993006993007; 0.08; -0.027
10.237762237762238; 0.146; 0.014
10.405594405594407; 0.12; 0.15
10.573426573426573; -0.203; 0.177
10.741258741258742; 0.139; 0.277
10.90909090909091; 0.078; 0.097
11.076923076923077; 0.03; 0.265
11.244755244755245; -0.024; -0.092
11.412587412587413; -0.065; 0.214
11.580419580419582; -0.018; 0.252
11.748251748251748; -0.238; 0.002
11.916083916083917; 0.012; 0.237
12.083916083916085; -0.12; 0.088
12.251748251748252; -0.015; -0.018
12.41958041958042; -0.145; 0.048
12.587412587412588; -0.097; 0.224
12.755244755244755; -0.062; 0.065
12.923076923076923; 0.0; 0.062
13.090909090909092; 0.025; 0.186
13.25874125874126; -0.069; 0.159
13.426573426573427; -0.029; 0.16
13.594405594405595; -0.05; 0.227
13.762237762237763; -0.127; 0.176
13.93006993006993; -0.115; -0.019
14.097902097902098; -0.239; 0.078
14.265734265734267; -0.252; 0.107
14.433566433566433; -0.088; 0.05
14.601398601398602; -0.133; 0.054
14.76923076923077; -0.086; 0.107
14.937062937062938; -0.058; 0.323
15.104895104895105; -0.162; 0.386
15.272727272727273; -0.268; 0.371
15.440559440559442; -0.337; 0.488
15.608391608391608; -0.202; 0.377
15.776223776223777; -0.327; 0.485
15.944055944055945; -0.376; 0.567
16.111888111888113; -0.38; 0.585
16.27972027972028; -0.364; 0.459
16.447552447552447; -0.385; 0.465
16.615384615384617; -0.389; 0.355
16.783216783216783; -0.432; 0.27
16.951048951048953; -0.357; 0.234
17.11888111888112; -0.176; 0.092
17.286713286713287; -0.185; -0.032
17.454545454545457; -0.196; -0.012
17.622377622377623; -0.199; 0.07
17.79020979020979; -0.168; -0.031
17.95804195804196; -0.143; 0.044
18.125874125874127; -0.109; -0.001
18.293706293706293; -0.103; -0.059
18.461538461538463; -0.12; 0.159
18.62937062937063; -0.207; 0.072
18.797202797202797; -0.089; -0.014
18.965034965034967; -0.061; -0.036
19.132867132867133; -0.013; -0.065
19.3006993006993; -0.09; -0.03
19.46853146853147; -0.065; -0.032
19.636363636363637; 0.088; -0.162
19.804195804195803; 0.083; -0.127
19.972027972027973; 0.089; -0.172
20.13986013986014; 0.16; -0.186
20.30769230769231; 0.085; -0.182
20.475524475524477; 0.172; -0.197
20.643356643356643; 0.069; -0.296
20.811188811188813; 0.066; -0.363
20.97902097902098; -0.04; -0.576
21.146853146853147; 0.192; -0.527
21.314685314685317; 0.341; -0.081
21.482517482517483; 0.604; 0.1
21.65034965034965; 0.495; 0.086
21.81818181818182; 0.414; 0.115
21.986013986013987; 0.233; -0.206
22.153846153846153; 0.119; 0.081
22.321678321678323; -0.095; -0.36
22.48951048951049; 0.225; 0.062
22.657342657342657; 0.02; -0.071
22.825174825174827; -0.305; 0.009
22.993006993006993; 0.21; 0.031
23.160839160839163; 0.015; 0.119
23.32867132867133; 0.188; -0.184
23.496503496503497; 0.066; 0.073
23.664335664335667; -0.044; 0.094
23.832167832167833; 0.033; -0.14
24.0; -0.053; 0.067
